X,Y
27,28.647
12,19.944
29,30.047
12,18.544
18,23.324
24,24.166
14,22.267
27,31.563
18,22.838
24,26.428
10,19.068
19,19.625
29,32.297
16,19.709
20,23.778
11,17.322
22,24.791
12,17.101
29,29.785
30,32.597
29,33.302
29,32.412
13,19.507
21,24.975
21,24.836
11,15.281
24,24.762
16,19.368
26,27.725
18,22.8
19,21.18
10,19.076
11,15.155
15,22.178
12,16.088
11,17.684
25,28.364
13,15.158
29,30.258
13,15.248
11,17.28
12,15.214
19,21.212
10,13.873
28,32.657
22,21.84
30,29.217
21,22.932
24,25.851
12,15.142
13,18.949
22,25.095
21,23.168
29,31.899
17,19.331
15,22.051
16,20.184
26,24.919
24,27.29
19,25.383
23,22.883
20,22.558
26,30.048
14,20.66
18,25.486
20,26.657
10,19.313
20,26.907
16,22.814
16,19.117
23,28.462
17,24.666
21,21.676
23,23.185
30,32.266
27,31.494
18,23.101
27,30.219
26,26.955
26,28.562
22,24.06
20,24.61
26,28.147
15,18.476
21,22.761
15,21.605
11,16.45
12,20.104
13,17.635
12,19.62
19,23.194
22,27.155
14,21.912
13,20.439
23,22.759
16,17.423
14,18.671
14,15.788
23,24.947
25,24.585
19,25.237
11,18.364
25,29.367
28,26.569
25,30.251
13,15.08
16,18.987
28,27.286
20,26.307
15,17.856
21,24.982
14,16.497
14,20.631
13,18.527
30,29.676
21,25.724
15,21.544
21,27.589
12,15.934
23,22.693
10,14.283
22,22.5
10,19.258
13,15.134
18,24.273
15,18.711
12,15.772
12,18.314
23,24.048
18,21.115
19,26.154
26,28.688
13,16.39
24,30.197
15,22.22
19,24.325
22,24.67
15,17.252
20,21.838
25,26.396
26,26.532
26,30.189
30,29.303
18,23.561
10,15.449
15,17.284
22,22.269
24,27.978
12,14.635
15,21.192
19,21.775
19,25.041
16,23.387
13,21.827
18,25.252
27,25.904
18,21.354
25,26.674
16,23.368
23,26.544
24,24.103
20,24.617
17,19.617
15,16.653
17,20.267
23,23.866
19,21.98
25,27.606
26,29.03
12,16.552
19,23.694
21,22.2
29,30.228
14,16.232
15,21.181
26,29.304
17,19.271
19,21.337
19,19.882
14,19.174
12,17.411
24,26.763
10,19.127
18,23.775
28,32.169
11,16.374
27,30.117
17,19.642
18,24.875
14,18.462
24,25.581
28,30.708
17,19.707
18,23.773
27,25.675
28,30.865
26,27.709
19,21.936
14,22.149
13,20.118
21,25.269
30,33.841
20,25.847
23,27.052
29,31.324
17,19.138
14,17.403
20,23.809
29,33.915
10,14.541
28,28.77
27,26.715
11,18.288
15,22.116
19,22.374
26,28.91
27,27.108
12,16.609
28,26.721
22,25.564
14,17.737
30,31.823
24,27.82
10,15.151
28,27.797
16,23.151
14,22.686
27,25.818
22,24.114
11,15.256
29,27.453
29,28.508
10,17.174
12,17.809
22,28.21
19,21.585
